gameid,time,speed,cadence,power
1,1537195528693,0,0,0
1,1537195531417,0.1344670827935461,0,44
1,1537195531912,0.3825632434243592,0,44
1,1537195532656,3.665361155698234,0,54
1,1537195533151,3.876943972835314,0,61
1,1537195533646,4.151854545454546,4.715634354133088,64
1,1537195534142,4.333055028462998,74.92682926829268,67
1,1537195534637,4.46,74.92682926829268,67
1,1537195535629,4.68414358974359,82.13903743315508,93
1,1537195535876,4.767265135699374,82.13903743315508,93
1,1537195536372,4.669775051124744,82.13903743315508,91
1,1537195536867,4.71801652892562,81.70212765957447,90
1,1537195537363,4.613171717171717,81.92,114
1,1537195538353,4.68414358974359,80.31372549019608,122
1,1537195539096,4.688952772073922,82.46979865771812,118
1,1537195539344,4.64130081300813,81.26984126984127,124
1,1537195539839,4.71801652892562,82.13903743315508,123
1,1537195540335,4.650753564154786,82.13903743315508,134
1,1537195540830,4.468727984344422,79.6887159533074,155
1,1537195541326,4.613171717171717,80,140
1,1537195541821,4.660244897959184,80,156
1,1537195542316,4.7375933609958505,82.35924932975871,183
1,1537195542812,4.585381526104418,79.8959687906372,164
1,1537195543307,4.399845857418112,79.8959687906372,175
1,1537195543803,4.18994495412844,73.75750300120048,166
1,1537195544298,4.121877256317689,72.79620853080569,216
1,1537195544793,4.252364990689013,72.79620853080569,204
1,1537195545289,4.333055028462998,75.20195838433293,207
1,1537195545785,4.4083397683397685,75.20195838433293,234
1,1537195546280,4.548844621513944,77.67383059418458,288
1,1537195546775,5.007719298245614,86.53521126760563,272
1,1537195547270,5.154672686230248,92.25225225225225,310
1,1537195547518,5.424038004750594,92.25225225225225,332
1,1537195548014,5.596862745098039,95.85023400936038,301
1,1537195548509,5.489230769230769,96,308
1,1537195548757,5.476067146282974,96,319
1,1537195549252,5.624433497536946,97.36925515055468,305
1,1537195549500,5.569560975609756,97.36925515055468,321
1,1537195549995,5.556009732360097,97.99043062200957,305
1,1537195550243,5.680398009950249,97.99043062200957,339
1,1537195550738,5.931220779220779,99.90243902439025,359
1,1537195550986,6.18840108401084,105.02564102564102,359
1,1537195551481,6.073191489361702,105.02564102564102,346
1,1537195551729,5.946666666666666,105.02564102564102,378
1,1537195552224,6.073191489361702,103.60876897133221,355
1,1537195552472,6.1220375335120645,103.60876897133221,362
1,1537195552968,6.105668449197861,107.60070052539405,365
1,1537195553215,6.239125683060109,107.0383275261324,348
1,1537195553711,6.171675675675676,108.35978835978835,334
1,1537195554206,6.1220375335120645,108.35978835978835,287
1,1537195554454,5.825306122448979,108.35978835978835,215
1,1537195555692,3.2390354609929077,108.35978835978835,0
